| Run # | Data Size (KB) | Read Intensity Ratio (% Read) | Delay  | Latency (ns) | BW (MB/sec) |
| 70    | 4  | 0     | 1300   | 4.77         | 13639.2     |
| 71    | 4  | 0     | 1700   | 4.47         | 14487.7     |
| 72    | 4  | 0     | 2500   | 4.96         | 13021.6     |
| 73    | 4  | 0     | 3500   | 3.57         | 18009.6     |
| 74    | 4  | 0     | 5000   | 4.73         | 13601.4     |
| 75    | 4  | 0     | 9000   | 4.79         | 13394.5     |
| 76    | 4  | 0     | 20000  | 4.31         | 14859.2     |
| 77    | 64 | 100   | 0      | 4.25         | 234198.6    |
| 78    | 64 | 100   | 2      | 8.98         | 106459.4    |
| 79    | 64 | 100   | 8      | 13.76        | 57371       |
| 80    | 64 | 100   | 15     | 12.56        | 49147.4     |
| 81    | 64 | 100   | 50     | 5.28         | 26751.7     |
| 82    | 64 | 100   | 100    | 11.7         | 15595.2     |
| 83    | 64 | 100   | 200    | 14.67        | 9673.3      |
| 84    | 64 | 100   | 300    | 13.4         | 8800.9      |
| 85    | 64 | 100   | 400    | 13.87        | 7615        |
| 86    | 64 | 100   | 500    | 12.79        | 7618.7      |
| 87    | 64 | 100   | 700    | 12.6         | 7000.7      |
| 88    | 64 | 100   | 1000   | 14.12        | 5774.6      |
| 89    | 64 | 100   | 1300   | 14.36        | 5372.3      |
| 90    | 64 | 100   | 1700   | 13.89        | 5337.4      |
| 91    | 64 | 100   | 2500   | 13.79        | 5150        |
| 92    | 64 | 100   | 3500   | 12.91        | 5336        |
| 93    | 64 | 100   | 5000   | 14.03        | 4802.9      |
| 94    | 64 | 100   | 9000   | 14.27        | 4620.4      |
| 95    | 64 | 100   | 20000  | 13.72        | 4727.4      |
| 96    | 64 | 75    | 0      | 4.28         | 356202.2    |
| 97    | 64 | 75    | 2      | 9.38         | 167810.6    |
| 98    | 64 | 75    | 8      | 16.71        | 129622.8    |
| 99    | 64 | 75    | 15     | 12.98        | 108401.4    |
| 100   | 64 | 75    | 50     | 12.53        | 52672.7     |
| 101   | 64 | 75    | 100    | 14.65        | 36980       |
| 102   | 64 | 75    | 200    | 15.02        | 23797.1     |
| 103   | 64 | 75    | 300    | 14.99        | 18179.3     |
| 104   | 64 | 75    | 400    | 15.98        | 14419       |
| 105   | 64 | 75    | 500    | 14.93        | 13098.6     |
| 106   | 64 | 75    | 700    | 11.36        | 12025.7     |
| 107   | 64 | 75    | 1000   | 14.38        | 9139        |
| 108   | 64 | 75    | 1300   | 13.62        | 8615.4      |
| 109   | 64 | 75    | 1700   | 10.15        | 9536.8      |
| 110   | 64 | 75    | 2500   | 10.86        | 8090.1      |
| 111   | 64 | 75    | 3500   | 11.55        | 7079.2      |
| 112   | 64 | 75    | 5000   | 11.69        | 6570.2      |
| 113   | 64 | 75    | 9000   | 7.36         | 9312.2      |
| 114   | 64 | 75    | 20000  | 13.34        | 5033.3      |
| 115   | 64 | 50    | 0      | 4.29         | 400018      |
| 116   | 64 | 50    | 2      | 8.11         | 200304.7    |
| 117   | 64 | 50    | 8      | 8.58         | 130807.6    |
| 118   | 64 | 50    | 15     | 12.1         | 87516.2     |
| 119   | 64 | 50    | 50     | 12.63        | 32137.9     |
| 120   | 64 | 50    | 100    | 11.82        | 24062.6     |
| 121   | 64 | 50    | 200    | 12.33        | 16862.7     |
| 122   | 64 | 50    | 300    | 8.39         | 15375.6     |
| 123   | 64 | 50    | 400    | 12.72        | 11023.1     |
| 124   | 64 | 50    | 500    | 13.75        | 9193.8      |
| 125   | 64 | 50    | 700    | 12.53        | 8553.3      |
| 126   | 64 | 50    | 1000   | 12.78        | 7381.5      |
| 127   | 64 | 50    | 1300   | 13.49        | 6542.6      |
| 128   | 64 | 50    | 1700   | 12.51        | 6565.9      |
| 129   | 64 | 50    | 2500   | 12.47        | 6136        |
| 130   | 64 | 50    | 3500   | 13.61        | 5390.4      |
| 131   | 64 | 50    | 5000   | 13.23        | 5317.3      |
| 132   | 64 | 50    | 9000   | 11.65        | 5774.7      |
| 133   | 64 | 50    | 20000  | 12.22        | 5365.5      |
| 134   | 64 | 0     | 0      | 4.45         | 78938.1     |
| 135   | 64 | 0     | 2      | 8.66         | 49205.3     |
| 136   | 64 | 0     | 8      | 11.85        | 33432       |
| 137   | 64 | 0     | 15     | 13.71        | 14730.8     |
| 138   | 64 | 0     | 50     | 7.64         | 11819.9     |
| 139   | 64 | 0     | 100    | 13.84        | 6921.3      |
| 140   | 64 | 0     | 200    | 13.22        | 6167.3      |
| 141   | 64 | 0     | 300    | 10.05        | 7356.2      |
| 142   | 64 | 0     | 400    | 13.68        | 5381.3      |
| 143   | 64 | 0     | 500    | 13.54        | 5299.4      |
| 144   | 64 | 0     | 700    | 13.19        | 5301.3      |
| 145   | 64 | 0     | 1000   | 10.51        | 6437.3      |
| 146   | 64 | 0     | 1300   | 8.6          | 7730.8      |
| 147   | 64 | 0     | 1700   | 10.42        | 6352.4      |
| 148   | 64 | 0     | 2500   | 14.29        | 4610.2      |
| 149   | 64 | 0     | 3500   | 15.13        | 4318.9      |
| 150   | 64 | 0     | 5000   | 16.23        | 4005        |
| 151   | 64 | 0     | 9000   | 13.68        | 4711.8      |
| 152   | 64 | 0     | 20000  | 11.82        | 5431.7      |
